pt_root_id,lee2024_hook_flx,other_public_sighting,explicit_snpp41_mapping,stable_fanc_cell_id_publicly_recovered,status
648518346476657526,true,tuthill-lab/Lesser_Azevedo_2023,false,false,unresolved
648518346507233352,true,tuthill-lab/Lesser_Azevedo_2023,false,false,unresolved
648518346480125925,true,tuthill-lab/Lesser_Azevedo_2023,false,false,unresolved
648518346514448583,true,tuthill-lab/Lesser_Azevedo_2023,false,false,unresolved
648518346509569667,true,tuthill-lab/Lesser_Azevedo_2023,false,false,unresolved
648518346490237960,true,tuthill-lab/Lesser_Azevedo_2023,false,false,unresolved
648518346496671612,true,tuthill-lab/Lesser_Azevedo_2023,false,false,unresolved
648518346494264434,true,tuthill-lab/Lesser_Azevedo_2023,false,false,unresolved
648518346480666625,true,tuthill-lab/Lesser_Azevedo_2023,false,false,unresolved
648518346494932914,true,EllenLesser/Azevedo_Lesser_Phelps_Mark_2023,false,false,unresolved
648518346494933426,true,tuthill-lab/Lesser_Azevedo_2023,false,false,unresolved
648518346481857725,true,tuthill-lab/Lesser_Azevedo_2023,false,false,unresolved
648518346517348645,true,tuthill-lab/Lesser_Azevedo_2023,false,false,unresolved
